pmid,doi,pmcid,title,htan_centre,grant_numbers
30346945,10.1371/journal.pbio.2006687,PMC6211764,Quantitative assessment of cell population diversity in single-cell landscapes,Vanderbilt (CRC),CA233291
30889376,10.1016/j.ccell.2019.02.012,PMC6499473,Therapeutic Clues from an Integrated Omic Assessment of East Asian Triple Negative Breast Cancers,OHSU (Metastatic),CA233280
31060596,10.1186/s13059-019-1681-8,PMC6501316,SCRABBLE: single-cell RNA-seq imputation constrained by bulk RNA-seq data,CHOP (Pediatric),CA233285
31070747,10.1093/molbev/msz099,PMC6657726,"Return to the Sea, Get Huge, Beat Cancer: An Analysis of Cetacean Genomes Including an Assembly for the Humpback Whale (Megaptera novaeangliae)",Duke (Breast PCA),CA233254
31142513,10.1158/0008-5472.CAN-19-0153,PMC6774823,The Immune Contexture Associates with the Genomic Landscape in Lung Adenomatous Premalignancy,Boston U (Lung PCA),CA233238
31534232,10.1038/s41596-019-0206-y,PMC6959005,Qualifying antibodies for image-based immune profiling and multiplexed tissue imaging,HMS (PATCH); OHSU (Metastatic),CA233262; CA233280
31848351,10.1038/s41597-019-0332-y,PMC6917801,Highly multiplexed immunofluorescence images and single-cell data of immune markers in tonsil and lung cancer,CHOP (Pediatric); HMS (PATCH); OHSU (Metastatic),CA233262; CA233280; CA233285
31161239,10.1007/s00401-019-02029-5,PMC7038792,An update on the CNS manifestations of neurofibromatosis type 2,HMS (PATCH),CA233262
32015472,10.1038/s41577-019-0263-z,PMC7547402,Distribution and storage of inflammatory memory in barrier tissues,HMS (DFCI),CA233195
32077397,10.1017/S0007114520000550,PMC7438237,Yogurt consumption and colorectal polyps,Vanderbilt (CRC),CA233291
32127393,10.1158/1078-0432.CCR-19-3888,PMC7367708,Dissecting the Tumor-Immune Landscape in Chimeric Antigen Receptor T-cell Therapy: Key Challenges and Opportunities for a Systems Immunology Approach,CHOP (Pediatric),CA233285
32152447,10.1038/s42003-020-0828-1,PMC7062831,RESTORE: Robust intEnSiTy nORmalization mEthod for multiplexed imaging,OHSU (Metastatic),CA233280
32243801,10.1016/j.cell.2020.03.022,PMC7141410,How Machine Learning Will Transform Biomedicine,OHSU (Metastatic),CA233280
32302568,10.1016/j.cell.2020.03.053,PMC7376497,The Human Tumor Atlas Network: Charting Tumor Transitions across Space and Time at Single-Cell Resolution,Boston U (Lung PCA); CHOP (Pediatric); DFCI DCC; Duke (Breast PCA); HMS (DFCI); HMS (PATCH); MSK (Metastasis); OHSU (Metastatic); Stanford (FAP); Vanderbilt (CRC); WashU,CA233195; CA233238; CA233243; CA233254; CA233262; CA233280; CA233284; CA233285; CA233291; CA233303; CA233311
32312293,10.1186/s13059-020-02008-0,PMC7169039,scATAC-pro: a comprehensive workbench for single-cell chromatin accessibility sequencing data,CHOP (Pediatric),CA233285
32375029,10.1016/j.celrep.2020.107576,PMC7305633,A Quantitative Framework for Evaluating Single-Cell Data Structure Preservation by Dimensionality Reduction Techniques,Vanderbilt (CRC),CA233291
32405060,10.1038/s41591-020-0844-1,PMC7220853,A single-cell and single-nucleus RNA-Seq toolbox for fresh and frozen human tumors,HMS (DFCI),CA233195
32417404,10.1053/j.gastro.2020.04.073,PMC7484006,"Use of Single-Cell -Omic Technologies to Study the Gastrointestinal Tract and Diseases, From Single Cell Identities to Patient Features",Vanderbilt (CRC),CA233291
32421773,10.1093/molbev/msaa125,PMC7530603,The Evolution of Human Cancer Gene Duplications across Mammals,Duke (Breast PCA),CA233254
32423648,10.1016/bs.mcb.2020.01.005,,A workflow for visualizing human cancer biopsies using large-format electron microscopy,OHSU (Metastatic),CA233280
32616006,10.1186/s12864-020-06843-0,PMC7331155,Dual indexed library design enables compatibility of in-Drop single-cell RNA-sequencing with exAMP chemistry sequencing platforms,Vanderbilt (CRC),CA233291
32624198,10.1016/j.tips.2020.06.008,PMC8106543,Select Stabilization of a Tumor-Suppressive PP2A Heterotrimer,OHSU (Metastatic),CA233280
32832663,10.1126/sciadv.aba3064,PMC7439310,Diverse noncoding mutations contribute to deregulation of cis-regulatory landscape in pediatric cancers,CHOP (Pediatric),CA233285
32856614,10.1158/1055-9965.EPI-20-0716,PMC8294063,Lung Cancer and Immunity Markers,Boston U (Lung PCA),CA233238
32973205,10.1038/s41522-020-00143-x,PMC7518420,Clinically adaptable polymer enables simultaneous spatial analysis of colonic tissues and biofilms,Vanderbilt (CRC),CA233291
33004476,10.1158/2159-8290.CD-20-1087,PMC8396076,Immunosurveillance and Regression in the Context of Squamous Pulmonary Premalignancy,Boston U (Lung PCA),CA233238
33053333,10.1016/j.immuni.2020.09.015,PMC7562821,Second-Strand Synthesis-Based Massively Parallel scRNA-Seq Reveals Cellular States and Molecular Features of Human Inflammatory Skin Pathologies,HMS (DFCI),CA233195
33768192,10.21105/joss.02579,PMC7989801,"Minerva: a light-weight, narrative image browser for multiplexed tissue images",HMS (PATCH); OHSU (Metastatic),CA233262; CA233280
34589908,10.1016/j.jtocrr.2020.100001,PMC8474414,The Role of Interleukin 1β in the Pathogenesis of Lung Cancer,Boston U (Lung PCA),CA233238
33219054,10.1101/gr.267047.120,PMC7849382,Predictive modeling of single-cell DNA methylome data enhances integration with transcriptome data,CHOP (Pediatric),CA233285
33633365,10.1038/s41588-021-00790-6,PMC8012210,ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis,Stanford (FAP),CA233311
33820778,10.1158/2159-8290.CD-20-1677,PMC8419030,Integrative Bulk and Single-Cell Profiling of Premanufacture T-cell Populations Reveals Factors Mediating Long-Term Persistence of CAR T-cell Therapy,CHOP (Pediatric),CA233285
33853780,10.1126/sciadv.abf1356,PMC8046375,CytoTalk: De novo construction of signal transduction networks using single-cell transcriptomic data,CHOP (Pediatric),CA233285
33957863,10.1186/s12859-021-04147-y,PMC8101181,Systematic interrogation of mutation groupings reveals divergent downstream expression programs within key cancer genes,OHSU (Metastatic),CA233280
33963182,10.1038/s41467-021-22804-x,PMC8105337,Co-evolution of tumor and immune cells during progression of multiple myeloma,WashU,CA233303
33982010,10.1016/j.xpro.2021.100450,PMC8082116,Processing single-cell RNA-seq data for dimension reduction-based analyses using open-source tools,Vanderbilt (CRC),CA233291
